series escapade demonstrating adage good goose also good gander occasionally amuses none amount much story	0	1	0	0	0
series escapade demonstrating adage good goose	0	0	1	0	0
demonstrating adage good goose	0	0	1	0	0
demonstrating adage	0	0	1	0	0
demonstrating	0	0	1	0	0
good goose	0	0	0	1	0
good gander occasionally amuses none amount much story	0	0	1	0	0
gander occasionally amuses none amount much story	0	0	1	0	0
gander occasionally amuses none amount much story	0	1	0	0	0
amuses none amount much story	0	0	1	0	0
amuses	0	0	0	1	0
quiet introspective entertaining independent worth seeking	0	0	0	0	1
quiet introspective entertaining independent	0	0	0	1	0
quiet introspective entertaining independent	0	0	0	0	1
quiet introspective entertaining	0	0	0	1	0
introspective	0	0	0	1	0
introspective	0	0	1	0	0
independent	0	0	1	0	0
worth seeking	0	0	0	1	0
worth seeking	0	0	0	0	1
seeking	0	0	1	0	0
even fan ismail merchant work suspect would hard time sitting one	0	1	0	0	0
even fan ismail merchant work	0	0	1	0	0
even fan	0	0	1	0	0
ismail merchant	0	0	1	0	0
ismail	0	0	1	0	0
suspect would hard time sitting one	0	1	0	0	0
would hard time sitting one	0	1	0	0	0
would hard time sitting one	1	0	0	0	0
hard time sitting one	1	0	0	0	0
hard time sitting one	0	1	0	0	0
sitting one	0	1	0	0	0
positively thrilling combination ethnography intrigue betrayal deceit murder shakespearean tragedy juicy soap opera	0	0	0	1	0
positively thrilling combination ethnography intrigue betrayal deceit murder shakespearean tragedy juicy soap opera	0	0	0	0	1
positively thrilling combination ethnography intrigue betrayal deceit murder	0	0	0	0	1
positively	0	0	0	1	0
thrilling combination	0	0	0	1	0
intrigue betrayal deceit murder	0	1	0	0	0
intrigue	0	0	0	1	0
betrayal deceit murder	0	0	1	0	0
betrayal deceit murder	0	1	0	0	0
deceit	0	0	1	0	0
deceit	0	1	0	0	0
shakespearean tragedy	0	1	0	0	0
shakespearean	0	0	1	0	0
juicy	0	0	0	1	0
aggressive self glorification manipulative whitewash	0	1	0	0	0
aggressive self glorification manipulative whitewash	1	0	0	0	0
self glorification manipulative whitewash	1	0	0	0	0
self glorification	0	1	0	0	0
self glorification	0	0	1	0	0
whitewash	0	0	1	0	0
comedy drama nearly epic proportion rooted sincere performance title character undergoing midlife crisis	0	0	0	0	1
comedy drama nearly epic proportion	0	0	0	1	0
nearly epic proportion	0	0	0	1	0
nearly epic proportion	0	0	1	0	0
nearly epic	0	0	0	0	1
proportion	0	0	1	0	0
rooted sincere performance title character undergoing midlife crisis	0	0	0	0	1
rooted sincere performance title character undergoing midlife crisis	0	0	0	1	0
rooted sincere performance	0	0	0	1	0
rooted	0	0	0	1	0
undergoing midlife crisis	0	0	1	0	0
undergoing	0	0	1	0	0
midlife crisis	0	1	0	0	0
midlife	0	0	1	0	0
narratively trouble every day plodding mess	0	1	0	0	0
narratively	0	0	1	0	0
trouble every day plodding mess	0	1	0	0	0
trouble every day plodding mess	1	0	0	0	0
every day	0	0	1	0	0
importance earnest thick wit play like reading bartlett familiar quotation	0	0	0	1	0
importance	0	0	0	1	0
earnest thick wit play like reading bartlett familiar quotation	0	0	0	1	0
thick wit play like reading bartlett familiar quotation	0	0	1	0	0
thick wit play like reading bartlett familiar quotation	0	0	0	1	0
wit play like reading bartlett familiar quotation	0	0	0	1	0
wit play like reading bartlett familiar quotation	0	0	1	0	0
play like reading bartlett familiar quotation	0	0	1	0	0
play like reading bartlett familiar quotation	0	0	0	1	0
like reading bartlett familiar quotation	0	0	1	0	0
reading bartlett familiar quotation	0	0	1	0	0
familiar quotation	0	0	1	0	0
quotation	0	0	1	0	0
leave much	0	0	1	0	0
could hate reason	1	0	0	0	0
hate reason	0	1	0	0	0
little recommend snow dog	0	0	1	0	0
recommend snow dog	0	0	1	0	0
recommend snow dog	0	0	0	0	1
unless one considers cliched dialogue perverse escapism source high hilarity	0	1	0	0	0
unless	0	0	1	0	0
one considers cliched dialogue perverse escapism source high hilarity	0	0	1	0	0
considers cliched dialogue perverse escapism source high hilarity	0	0	1	0	0
considers	0	0	1	0	0
cliched dialogue perverse escapism source high hilarity	0	1	0	0	0
cliched dialogue perverse escapism	0	1	0	0	0
perverse escapism	0	0	1	0	0
perverse	0	1	0	0	0
escapism	0	0	1	0	0
source high hilarity	0	0	0	1	0
high hilarity	0	0	0	1	0
high hilarity	0	0	0	0	1
high	0	0	0	1	0
kung pow oedekerk realization childhood dream martial art flick prof sometimes dream youth remain	0	1	0	0	0
kung	0	0	1	0	0
oedekerk realization childhood dream martial art flick prof sometimes dream youth remain	0	0	1	0	0
oedekerk realization childhood dream martial art flick prof sometimes dream youth remain	1	0	0	0	0
oedekerk realization childhood dream	0	0	1	0	0
oedekerk realization	0	0	1	0	0
realization	0	0	1	0	0
martial art	0	0	1	0	0
prof sometimes dream youth remain	0	1	0	0	0
dream youth remain	0	0	1	0	0
dream youth	0	0	0	1	0
performance absolute joy	0	0	0	0	1
absolute	0	0	1	0	0
fresnadillo something serious say way extravagant chance distort perspective throw u path good sense	0	0	0	1	0
fresnadillo	0	0	1	0	0
serious say way extravagant chance distort perspective throw u path good sense	0	0	1	0	0
say way extravagant chance distort perspective throw u path good sense	0	0	0	1	0
say way extravagant chance distort perspective throw u path good sense	0	0	1	0	0
way extravagant chance distort perspective throw u path good sense	0	0	1	0	0
way extravagant chance distort perspective throw u path good sense	0	1	0	0	0
extravagant chance	0	0	1	0	0
extravagant	0	0	0	0	1
distort	0	0	1	0	0
throw u path good sense	0	0	1	0	0
throw u	0	0	1	0	0
